pH;Biomassa;Especies
alt;0,469297221;30
alt;1,730870426;39
alt;2,089778481;44
alt;3,925787136;35
alt;4,366792653;25
alt;5,481974683;29
alt;6,68468591;23
alt;7,511650634;18
alt;8,132202505;19
alt;9,572128635;12
alt;0,086653665;39
alt;1,236973905;35
alt;2,532043235;30
alt;3,407941525;30
alt;4,605045962;33
alt;5,367717087;20
alt;6,560842148;26
alt;7,242062143;36
alt;8,503632993;18
alt;9,390953422;7
alt;0,76488801;39
alt;1,176470196;39
alt;2,325120818;34
alt;3,222882069;31
alt;4,136129299;24
alt;5,137176521;25
alt;6,421938112;20
alt;7,065526382;21
alt;8,745929177;12
alt;9,981770129;11
mig;0,175762697;29
mig;1,376778303;30
mig;2,551042556;21
mig;3,00027434;18
mig;4,905623865;13
mig;5,343305425;13
mig;7,7;9
mig;0,553688929;24
mig;1,990296437;26
mig;2,91263671;26
mig;3,216451335;20
mig;4,979884675;21
mig;5,658722899;15
mig;8,1;8
mig;0,739569861;31
mig;1,526934202;28
mig;2,232122387;18
mig;3,885288176;16
mig;4,626505411;19
mig;5,120968439;20
mig;8,3;6
mig;0,511278577;25
mig;1,478232688;23
mig;2,934558004;25
mig;3,50548891;22
mig;4,617909137;15
mig;5,696963821;11
mig;6,093016876;17
mig;0,730062798;24
mig;1,158068376;27
baix;0,100847904;18
baix;0,138596089;19
baix;0,863515079;15
baix;1,292919034;19
baix;2,46916355;12
baix;2,366553089;11
baix;2,629217082;15
baix;3,252286524;9
baix;4,417276192;3
baix;4,780810391;2
baix;0,050175289;18
baix;0,482836915;19
baix;0,652667143;13
baix;1,555336555;9
baix;1,671638196;8
baix;2,870053904;14
baix;2,510720525;13
baix;3,497603852;4
baix;3,678761859;8
baix;4,831542449;2
baix;0,289722659;17
baix;0,077560095;14
baix;1,429020407;15
baix;1,120740925;17
baix;1,507953837;9
baix;2,325963179;8
baix;2,995705821;12
baix;3,538199085;14
baix;4,364541206;7
baix;4,870507888;3
